DateTime,AddedIPs,RemovedIPs
1580512337,26,26
1580514272,35,43
1580516173,21,56
1580518096,32,43
1580520024,30,46
1580521940,84,57
1580523854,33,30
1580525784,22,48
1580527693,23,27
1580529726,38,35
1580531540,235,22
1580534412,357,35
1580536328,151,41
1580538264,390,35
1580540178,2997,909
1580542102,2069,54
1580544076,2182,73
1580545937,1488,85
1580548115,1799,43
1580550013,1374,50
1580551977,1026,33
1580553853,1187,58
1580555776,510,48
1580557967,446,34
1580559853,327,31
1580561770,416,23
1580563687,326,27
1580566601,474,39
1580568496,342,28
1580570425,251,15
1580572327,193,30
1580574252,168,11
1580576181,191,17
1580578102,137,16
1580581233,345,41
1580583133,153,23
1580585067,135,20
1580586991,143,32
1580588891,113,21
1580590910,153,33
1580592774,152,25
1580594928,152,14
1580596813,147,12
1580598753,109,19
1580600670,117,22
1580602865,118,16
1580604747,114,20
1580606673,109,27
1580608570,123,51
1580610493,104,25
1580613383,163,26
1580615305,129,21
1580617217,109,17
1580619141,161,270
1580621088,189,108
1580622983,113,111
1580624892,126,95
1580628008,136,1510
1580629947,35,278
1580631872,25,179
1580633769,38,185
1580635690,35,204
1580638591,48,248
1580640508,44,236
1580642411,31,248
1580644332,39,113
1580646264,29,46
1580648172,25,92
1580650093,33,30
1580653209,356,191
1580655130,680,150
1580657070,231,85
1580658973,35,39
1580660890,35,33
1580663185,33,34
1580665212,45,29
1580667387,787,34
1580669541,2939,31
1580671454,42,36
1580673385,41,30
1580675289,38,30
1580678175,47,44
1580680097,46,22
1580682020,31,27
1580683945,19,32
1580685859,18,20
1580687783,28,16
1580689689,15,20
1580691730,30,21
1580693533,26,25
1580695515,20,22
1580697385,28,30
1580699565,24,18
1580701455,21,29
1580703377,23,24
1580705307,21,24
1580707232,17,22
1580709129,18,21
1580711092,571,22
1580712982,414,98
1580714896,89,84
1580716911,126,132
1580718766,164,156
1580720903,188,125
1580722813,139,212
1580724752,241,26
1580726656,59,44
1580728576,45,32
1580730511,56,87
1580732415,36,130
1580734346,44,147
1580736269,46,131
1580738174,53,193
1580740092,131,198
1580743472,150,822
1580745372,40,192
1580747294,35,145
1580750175,1311,153
1580752109,33,188
1580754011,33,1089
1580755957,46,3004
1580757872,30,156
1580759772,46,60
1580761691,44,40
1580763755,45,33
1580765826,54,61
1580767707,40,29
1580769613,45,24
1580771539,34,15
1580773480,42,24
1580775617,31,19
1580777542,40,28
1580779481,35,19
1580781470,41,21
1580783351,35,24
1580785402,53,27
1580787497,356,26
1580789420,267,21
1580791469,25,17
1580793375,217,23
1580795311,621,12
1580797226,145,21
1580799146,1076,952
1580801053,1618,65
1580802987,1474,130
1580804890,1272,242
1580807835,1575,296
1580809697,826,302
1580811634,525,135
1580813535,312,142
1580815459,344,79
1580817780,324,133
1580819851,228,152
1580821705,263,117
1580823615,179,121
1580825542,183,108
1580827471,209,66
1580829403,83,37
1580831312,34,38
1580833245,33,38
1580835136,19,27
1580837156,249,1451
1580838991,480,33
1580840930,253,28
1580843012,13,48
1580844994,16,48
1580847170,19,47
1580849052,23,33
1580850974,21,42
1580852906,37,50
1580854820,9,34
1580856729,12,36
1580858655,23,25
1580860584,15,34
1580862492,16,24
1580864469,22,39
1580866366,24,40
1580868500,69,30
1580870410,20,43
1580872344,13,26
1580874254,19,500
1580876170,14,35
1580878103,12,28
1580880012,469,539
1580881937,398,273
1580883861,863,149
1580885768,824,217
1580887691,233,200
1580890590,82,482
1580892492,91,332
1580894422,29,447
1580896331,14,389
1580898252,12,384
1580900181,5,439
1580902121,9,424
1580904067,21,408
1580905937,5,235
1580908112,23,324
1580910013,17,197
1580911938,18,392
1580913866,15,407
1580915775,19,129
1580917694,16,47
1580919623,17,23
1580921530,10,19
1580923476,30,48
1580925370,28,63
1580927287,30,104
1580929344,29,123
1580931151,34,122
1580933314,32,151
1580935211,15,173
1580937142,27,234
1580939065,23,281
1580940972,29,107
1580942893,28,534
1580944811,21,380
1580946731,22,710
1580948667,14,551
1580950569,20,802
1580952490,21,904
1580954545,31,319
1580956582,16,481
1580958503,14,204
1580960413,20,162
1580962348,19,117
1580964265,13,37
1580966434,18,652
1580968332,17,582
1580970267,631,1065
1580972174,310,1536
1580974089,68,754
1580977211,170,670
1580979126,55,470
1580981068,58,486
1580982976,20,400
1580984894,11,122
1580986881,21,22
1580988733,33,37
1580990911,17,22
1580992827,21,12
1580994742,21,26
1580996651,20,91
1580998579,97,89
1581000509,85,20
1581002407,18,22
1581004341,21,860
1581006251,50,602
1581008182,15,165
1581010087,16,32
1581012974,28,47
1581014893,19,34
1581016823,15,29
1581018747,25,38
1581020670,18,26
1581022574,17,23
1581024493,18,29
1581026645,15,27
1581028589,15,35
1581030503,13,33
1581032426,12,24
1581034352,18,21
1581036256,11,25
1581038175,22,23
1581040113,24,21
1581042012,17,43
1581043930,11,22
1581045868,13,20
1581047773,17,28
1581049692,16,23
1581052575,28,34
1581054505,24,21
1581056408,1068,242
1581058328,1067,713
1581060270,286,57
1581062169,272,42
1581064088,213,51
1581067211,396,31
1581069132,219,17
1581071076,195,12
1581072975,167,15
1581075136,203,32
1581077124,237,6
1581078989,205,26
1581080901,1935,24
1581082814,477,20
1581084751,31,26
1581086655,33,16
1581088582,35,22
1581090510,29,20
1581092420,34,16
1581094329,27,62
1581096270,20,13
1581098171,33,17
1581100092,29,14
1581103004,52,25
1581104909,37,19
1581106811,38,16
1581108731,27,11
1581110678,26,16
1581112572,33,10
1581114490,35,13
1581116692,35,15
1581118586,33,9
1581120512,33,15
1581122415,30,10
1581124348,28,17
1581126252,28,13
1581128174,29,26
1581130131,31,10
1581132030,28,10
1581133943,30,18
1581135855,35,16
1581137779,19,16
1581139707,31,15
1581142576,40,50
1581144492,1092,709
1581146422,64,411
1581148336,66,131
1581150254,122,182
1581152185,203,51
1581154090,19,28
1581156094,36,43
1581157945,37,40
1581160827,41,55
1581162734,36,34
1581164651,28,28
1581166585,24,406
1581168488,44,1735
1581171622,56,74
1581173528,482,27
1581175451,511,26
1581177382,441,25
1581179315,19,31
1581181289,27,33
1581183148,16,22
1581185315,23,33
1581187211,13,24
1581189142,29,25
1581191084,24,32
1581193230,34,43
1581195128,20,25
1581197068,15,24
1581198972,21,30
1581200889,7,31
1581202896,23,33
1581204733,13,31
1581206899,22,31
1581208814,27,27
1581210749,11,27
1581212649,15,27
1581214571,14,27
1581216507,8,28
1581218413,11,26
1581220333,12,26
1581222294,20,36
1581224168,20,17
1581226336,16,872
1581228284,179,17
1581230188,2031,206
1581232102,1870,967
1581234012,548,74
1581235949,65,81
1581237866,77,211
1581239774,163,25
1581241712,14,24
1581243610,26,33
1581245529,23,28
1581247467,21,25
1581249369,13,26
1581251289,27,24
1581254415,32,53
1581256339,26,26
1581258282,17,17
1581260171,24,431
1581262088,12,396
1581264974,23,322
1581266924,18,21
1581268807,16,19
1581270727,28,18
1581272667,25,14
1581274582,29,20
1581276497,1771,23
1581278501,1238,32
1581280337,22,22
1581282539,22,19
1581284415,23,14
1581286336,15,8
1581288265,27,12
1581290176,18,19
1581292116,19,12
1581294012,14,22
1581295931,428,21
1581297867,19,13
1581299785,30,9
1581301693,22,11
1581304579,35,14
1581306511,24,9
1581308424,18,19
1581310344,20,19
1581312272,20,14
1581314173,16,15
1581316095,624,1842
