DateTime,Entries,UniqueIPs
1580214492,75,75
1580216613,74,74
1580218594,73,73
1580220513,72,72
1580222432,68,68
1580224591,67,67
1580226763,69,69
1580228663,69,69
1580230588,66,66
1580232519,69,69
1580235390,71,71
1580237295,69,69
1580241130,71,71
1580243051,72,72
1580245004,71,71
1580246924,68,68
1580248954,68,68
1580250973,68,68
1580252906,67,67
1580254810,69,69
1580256735,70,70
1580258661,71,71
1580260570,70,70
1580268252,71,71
1580270190,72,72
1580274981,73,73
1580276898,71,71
1580280731,72,72
1580284571,74,74
1580296336,74,74
1580298263,74,74
1580300186,74,74
1580302101,72,72
1580304007,73,73
1580305928,74,74
1580307881,73,73
1580309767,72,72
1580311710,75,75
1580313792,75,75
1580315785,74,74
1580317702,75,75
1580319610,75,75
1580321547,73,73
1580323449,71,71
1580327306,73,73
1580329209,73,73
1580331126,75,75
1580333064,76,76
1580334969,76,76
1580336902,75,75
1580338889,75,75
1580340733,74,74
1580343163,74,74
1580345052,76,76
1580348904,80,80
1580350814,83,83
1580354662,84,84
1580356573,80,80
1580358736,80,80
1580364501,81,81
1580368345,80,80
1580370283,78,78
1580374107,79,79
1580379864,81,81
1580381770,80,80
1580383693,79,79
1580385690,79,79
1580389476,78,78
1580391371,77,77
1580393315,77,77
1580395214,78,78
1580397156,77,77
1580399082,76,76
1580400977,75,75
1580402922,73,73
1580404808,75,75
1580406750,76,76
1580408651,77,77
1580412488,78,78
1580415375,77,77
1580417296,77,77
1580419225,78,78
1580421133,79,79
1580424993,81,81
1580426886,86,86
1580430751,84,84
1580432914,85,85
1580434814,85,85
1580436753,86,86
1580438653,86,86
1580440598,87,87
1580442506,85,85
1580444412,84,84
1580446327,83,83
1580448294,82,82
1580450168,80,80
1580452099,80,80
1580454284,81,81
1580460011,82,82
1580461934,82,82
1580465794,80,80
1580467706,80,80
1580469621,80,80
1580477289,79,79
1580479316,78,78
1580481130,81,81
1580483316,83,83
1580487154,90,90
1580492446,88,88
1580494345,89,89
1580496314,90,90
1580498443,86,86
1580502255,86,86
1580504182,88,88
1580506093,89,89
1580508983,88,88
1580510895,85,85
1580512824,84,84
1580516652,82,82
1580518583,81,81
1580522494,82,82
1580524346,80,80
1580526291,80,80
1580533948,79,79
1580538016,78,78
1580539945,77,77
1580549545,78,78
1580551544,81,81
1580553385,81,81
1580557224,81,81
1580559160,81,81
1580561058,80,80
1580563233,80,80
1580565132,81,81
1580567061,78,78
1580568988,79,79
1580570889,77,77
1580573012,73,73
1580574970,71,71
1580576917,74,74
1580578815,73,73
1580580876,70,70
1580582893,71,71
1580586729,72,72
1580588666,73,73
1580590569,73,73
1580592523,69,69
1580595867,65,65
1580597770,66,66
1580599688,65,65
1580601682,66,66
1580605507,68,68
1580607382,68,68
1580611451,67,67
1580613381,66,66
1580615304,67,67
1580622982,68,68
1580628007,69,69
1580635688,68,68
1580638588,71,71
1580640507,71,71
1580642410,72,72
1580644331,73,73
1580648171,71,71
1580650092,70,70
1580652093,68,68
1580653942,66,66
1580656108,65,65
1580658012,63,63
1580659954,62,62
1580661851,64,64
1580664051,61,61
1580667965,64,64
1580671687,65,65
1580673697,66,66
1580675551,65,65
1580677717,65,65
1580679613,66,66
1580681557,67,67
1580683456,69,69
1580685372,71,71
1580687293,72,72
1580689225,74,74
1580691129,74,74
1580693068,75,75
1580694971,78,78
1580696892,79,79
1580700983,78,78
1580704811,80,80
1580712520,81,81
1580714411,82,82
1580722112,84,84
1580724973,83,83
1580728810,82,82
1580730748,81,81
1580732676,80,80
1580734572,82,82
1580736737,81,81
1580738677,82,82
1580740596,83,83
1580748500,85,85
1580750414,86,86
1580754281,85,85
1580756186,85,85
1580758339,85,85
1580760502,85,85
1580762415,86,86
1580764355,83,83
1580766269,81,81
1580768176,83,83
1580770118,83,83
1580772029,79,79
1580773932,78,78
1580775869,78,78
1580777771,79,79
1580779707,79,79
1580781651,79,79
1580785717,80,80
1580787617,81,81
1580791468,80,80
1580799145,81,81
1580801052,80,80
1580802986,77,77
1580804889,76,76
1580807833,76,76
1580809695,73,73
1580811633,71,71
1580813534,72,72
1580815458,71,71
1580821704,70,70
1580823614,71,71
1580825541,70,70
1580827469,66,66
1580829401,67,67
1580833244,66,66
1580835135,66,66
1580837155,66,66
1580840929,68,68
1580844993,68,68
1580847169,69,69
1580849050,67,67
1580850973,65,65
1580852905,64,64
1580854818,63,63
1580856727,63,63
1580858654,62,62
1580860583,61,61
1580862490,63,63
1580865396,61,61
1580867306,60,60
1580871127,61,61
1580873074,62,62
1580874971,62,62
1580883398,63,63
1580885328,64,64
1580887242,61,61
1580889139,62,62
1580891057,58,58
1580892983,56,56
