DateTime,Entries,UniqueIPs
1579250925,7824,7824
1579251624,7786,7786
1579252353,7852,7852
1579253064,7751,7751
1579253782,7797,7797
1579254510,7767,7767
1579255239,7787,7787
1579255950,6930,6930
1579256671,7124,7124
1579257388,7177,7177
1579258106,7251,7251
1579258824,7332,7332
1579259551,7282,7282
1579260264,7336,7336
1579261232,7322,7322
1579261941,7366,7366
1579262698,7412,7412
1579263401,7400,7400
1579264107,7386,7386
1579264825,7443,7443
1579265546,7480,7480
1579266269,7449,7449
1579267008,7509,7509
1579267711,7539,7539
1579268431,7522,7522
1579269150,7534,7534
1579269866,7530,7530
1579270600,7519,7519
1579271301,7578,7578
1579272031,7578,7578
1579272995,7562,7562
1579273954,7567,7567
1579274662,7568,7568
1579275387,7573,7573
1579276110,7552,7552
1579276834,7577,7577
1579277543,7571,7571
1579278274,7617,7617
1579278984,7559,7559
1579279707,7558,7558
1579280426,7558,7558
1579281400,7575,7575
1579282116,7570,7570
1579282828,7579,7579
1579283545,7555,7555
1579284522,7598,7598
1579285211,7637,7637
1579285937,7577,7577
1579286664,7591,7591
1579287369,7581,7581
1579288126,7565,7565
1579288828,7590,7590
1579289559,7630,7630
1579290268,7612,7612
1579290984,7609,7609
1579291717,7589,7589
1579292424,7591,7591
1579293159,7617,7617
1579293868,7618,7618
1579294583,7671,7671
1579295315,7686,7686
1579296025,7731,7731
1579296747,7690,7690
1579297471,7697,7697
1579298185,7740,7740
1579298917,7699,7699
1579299624,7739,7739
1579300349,7733,7733
1579301077,7708,7708
1579301784,7723,7723
1579302758,7701,7701
1579303473,7698,7698
1579304197,7714,7714
1579304908,7697,7697
1579305624,7714,7714
1579306345,7700,7700
1579307069,7706,7706
1579307786,7701,7701
1579308516,7712,7712
1579309224,7716,7716
1579309951,7715,7715
1579310679,7708,7708
1579311383,7716,7716
1579312106,7706,7706
1579312828,7712,7712
1579313802,7735,7735
1579314501,7780,7780
1579315227,7732,7732
1579315942,7742,7742
1579316670,7749,7749
1579317387,7711,7711
1579318107,7761,7761
1579318829,7737,7737
1579319547,7768,7768
1579320515,7720,7720
1579321231,7681,7681
1579321947,7687,7687
1579322669,7709,7709
1579323386,7677,7677
1579324109,7741,7741
1579324823,7685,7685
1579325545,7717,7717
1579326264,7706,7706
1579326981,7735,7735
1579327718,7712,7712
1579328422,7719,7719
1579329153,7722,7722
1579329864,7700,7700
1579330588,7698,7698
1579331556,7703,7703
1579332266,7652,7652
1579332989,7630,7630
1579333705,7729,7729
1579334438,7712,7712
1579335380,7740,7740
1579336085,7729,7729
1579336820,7736,7736
1579337527,7725,7725
1579338266,7721,7721
1579338971,7734,7734
1579339691,7704,7704
1579340409,7721,7721
1579341128,7719,7719
1579342104,7712,7712
1579342807,7696,7696
1579343531,7750,7750
1579344254,7755,7755
1579344967,7777,7777
1579345694,7751,7751
1579346418,7761,7761
1579347131,7798,7798
1579347860,7739,7739
1579348570,7732,7732
1579349293,7770,7770
1579350015,7753,7753
1579350732,7802,7802
1579351454,7769,7769
1579352166,7766,7766
1579352918,7795,7795
1579353628,7790,7790
1579354353,7809,7809
