DateTime,AddedIPs,RemovedIPs
1581208095,76,64
1581210191,96,79
1581212198,90,85
1581214356,71,69
1581216251,69,60
1581218178,87,51
1581220129,73,75
1581222009,65,63
1581223934,52,63
1581225884,62,64
1581227781,78,76
1581229690,70,68
1581232583,138,129
1581234519,79,72
1581236437,72,74
1581238345,61,98
1581240276,68,109
1581242184,110,71
1581244096,79,56
1581247019,101,101
1581248909,85,46
1581250815,108,73
1581252732,104,63
1581254670,76,75
1581256572,113,73
1581258506,97,73
1581260690,637,60
1581262592,109,60
1581264510,78,61
1581266417,64,158
1581268352,91,64
1581270263,106,84
1581272179,81,63
1581274111,92,84
1581276077,392,76
1581277934,932,102
1581279853,2786,87
1581281773,1553,68
1581283711,1622,102
1581285722,1552,77
1581287548,1604,62
1581289602,1686,76
1581291407,2495,73
1581293295,1481,61
1581295215,2180,60
1581297155,1959,100
1581299056,1827,56
1581301228,1831,61
1581304108,2189,112
1581306035,1542,69
1581307961,1465,61
1581309903,1676,57
1581311807,1664,48
1581313708,2181,62
1581315615,1315,50
1581317529,75,87
1581319472,78,74
1581321380,66,77
1581323294,62,61
1581325296,77,59
1581327167,92,67
1581329153,79,97
1581330994,87,66
1581333180,80,62
1581335070,71,75
1581336994,80,96
1581338927,80,98
1581340835,82,88
1581342737,77,102
1581344689,61,86
1581346576,61,85
1581348498,79,679
1581350716,80,88
1581353550,138,99
1581355471,75,103
1581357374,56,77
1581359294,91,81
1581361516,107,134
1581363375,76,615
1581365573,109,2536
1581367479,107,1898
1581369408,82,1484
1581371315,94,1674
1581373217,78,1307
1581375192,93,2118
1581377095,83,1606
1581378973,121,2460
1581380918,74,1710
1581383127,120,2416
1581384987,67,1837
1581386895,107,1502
1581388816,102,1746
1581390793,95,1427
1581392672,112,1503
1581394833,101,1756
1581396754,89,1582
1581398677,85,1814
1581400578,93,2374
1581402519,87,610
1581404610,98,77
1581406585,98,89
1581408504,130,56
1581410418,112,68
1581412337,103,80
1581414266,94,93
1581416178,71,88
1581418392,146,87
1581420329,90,77
1581422186,87,74
1581424094,78,88
1581427233,163,142
1581429135,95,80
1581431055,92,67
1581433002,79,69
1581434894,91,74
1581437047,92,67
1581439002,100,96
1581440912,133,78
1581442819,103,67
1581444735,83,73
1581446673,99,90
1581448588,67,84
1581450499,72,70
1581452434,98,100
1581454333,84,100
1581456253,81,71
1581458201,100,76
1581460095,72,69
1581462280,110,107
1581464175,71,83
1581466107,125,92
1581468013,87,80
1581469934,72,88
1581471868,126,75
1581473774,106,81
1581475705,105,73
1581477627,110,86
1581479534,84,82
1581481461,98,70
1581483397,71,75
1581485291,64,70
1581488200,94,110
1581490092,57,84
1581492028,77,78
1581493952,73,88
1581495854,56,104
1581497786,60,96
1581499689,59,82
1581501729,63,83
1581503549,79,121
1581505495,80,94
